Feature,Importance
cg00044729,0.32131433
cg03264209,0.31932998
cg02415431,0.31643975
cg01432087,0.31502953
cg03020951,0.30875057
cg02196655,0.30768648
cg03032025,0.30630645
cg02706881,0.30579537
cg03173722,0.30264488
cg00005847,0.30243647
cg00597076,0.30209205
cg01804429,0.29918584
cg00615241,0.29832977
cg01767116,0.29704985
cg02192965,0.2968715
cg03099771,0.29648077
cg02723533,0.29638773
cg01986577,0.29585198
cg00899659,0.29557106
cg03510310,0.29470208
cg01543654,0.2931118
cg03202897,0.29282957
cg02611419,0.29259294
cg02280309,0.29133415
cg01386493,0.2907383
cg02774160,0.29057032
cg00449941,0.2900742
cg02091100,0.2898537
cg00981643,0.2893555
cg03087937,0.28879187
