Feature,Importance
hsa-mir-222,0.32585344
hsa-mir-744,0.3237235
hsa-mir-3130-1,0.32304293
hsa-mir-92a-1,0.32013884
hsa-mir-548o,0.31729636
hsa-mir-103-2,0.31673166
hsa-mir-99a,0.31660804
hsa-mir-3065,0.31564057
hsa-mir-1254,0.31356546
hsa-mir-372,0.31272444
hsa-mir-423,0.3106498
hsa-mir-3647,0.30970293
hsa-mir-942,0.30828932
hsa-mir-320c-2,0.30807674
hsa-mir-497,0.3064202
hsa-mir-10b,0.3058385
hsa-mir-2277,0.30578592
hsa-mir-320d-2,0.30530548
hsa-mir-590,0.30426273
hsa-mir-1287,0.3039182
hsa-mir-34c,0.30388796
hsa-mir-548s,0.3036852
hsa-mir-654,0.30358365
hsa-mir-25,0.3028303
hsa-mir-32,0.3024618
hsa-mir-3191,0.3015839
hsa-mir-335,0.3005648
hsa-mir-181b-1,0.3004199
hsa-mir-548v,0.30035612
